customer_id,first_name,last_name,email,phone,city,state,country,age
1,Christopher,Walsh,mooredawn@example.com,001-881-259-2060,Mcmillanside,Colorado,USA,63
2,William,Lopez,sreed@example.net,(589)662-5817x0265,West Janeburgh,Indiana,USA,68
3,Lauren,Smith,howardjames@example.net,952.357.6411,Vanessaberg,Louisiana,USA,57
4,Chris,Dickerson,davischristopher@example.org,(246)756-8882,East Allisonstad,Missouri,USA,25
5,Barbara,Howard,hunterpatrick@example.com,(322)473-2861x33177,North Sydneyfort,Alaska,USA,31
6,Sheena,Hamilton,ehudson@example.com,001-517-632-2831x81290,New Benjamintown,South Dakota,USA,38
7,Angela,May,haley42@example.net,(928)268-8366x31366,Smithville,Nebraska,USA,21
8,Amanda,Robinson,matthewstevens@example.org,001-674-829-1451x0951,Garciachester,Arizona,USA,30
9,Tanya,Thompson,fsantos@example.net,922-960-1547x26385,East Emily,Georgia,USA,33
10,Michelle,King,eric15@example.org,7448200081,Murillobury,Mississippi,USA,23
11,Jackie,Carter,wgill@example.com,+1-751-910-1541x7945,Ryanshire,Massachusetts,USA,48
12,Janice,Taylor,heidi43@example.com,(489)841-8448,Tonitown,North Dakota,USA,20
13,Marie,Reyes,tamarasmith@example.net,+1-823-787-1919x545,Bowenland,West Virginia,USA,65
14,Laura,Anthony,zlandry@example.net,286-952-2571,West Tammytown,Alaska,USA,46
15,Jessica,Marshall,ugood@example.com,(789)861-6046,Port Lisashire,Nevada,USA,66
16,Jasmine,Johnson,justin14@example.org,+1-286-356-6077x5508,Tinaland,Connecticut,USA,45
17,William,Garrett,hoganjason@example.com,325.958.7571,Bartonton,Illinois,USA,20
18,Gina,Watts,medinakim@example.org,(767)247-1654,Carterborough,North Dakota,USA,57
19,Sandra,Pena,russellkeith@example.com,001-418-545-8164x4107,Jeromeport,Arkansas,USA,31
20,John,Bautista,shellypreston@example.com,(811)819-6470x9141,North Edwardport,Arkansas,USA,53
21,Richard,Calderon,jack34@example.net,(736)793-7126,Edwardsberg,South Dakota,USA,46
22,Kimberly,Gilbert,ihodges@example.org,(478)313-5983,South Lisabury,Colorado,USA,23
23,Nathan,Wilson,raymondphillips@example.com,+1-972-655-5091x724,Rogerton,Michigan,USA,41
