employee_id,first_name,last_name,email,phone,position,salary,store_id
1,Carolyn,Sanford,curtisschmidt@example.com,001-787-261-6017,Sales Associate,44825,77
2,Michael,Kelly,arobinson@example.com,815-810-3246x7052,Cashier,71163,16
3,Susan,Garcia,stewartkristen@example.org,+1-721-203-6448,Store Manager,51498,90
4,James,Carlson,margaret36@example.org,7998165152,Store Manager,44783,2
5,Kristie,Hogan,burkeemily@example.org,+1-792-493-4815,Cashier,60000,70
6,Nicole,Floyd,adambell@example.net,359.306.6851x5351,Inventory Executive,80214,100
7,Carrie,Cain,jose75@example.org,+1-415-333-5545x47566,Sales Associate,41369,86
8,Rebecca,Dawson,lopezheather@example.net,267-938-5706,Sales Associate,41605,85
9,Carl,Conner,ramosjames@example.org,001-751-860-9551x17515,Store Manager,56220,45
10,Edward,Mccoy,joannelson@example.org,+1-877-312-8831x65069,Store Manager,33343,42
11,Brian,Glass,barkersusan@example.com,(930)573-1566x2272,Inventory Executive,55919,32
12,Colleen,Pineda,kristopher78@example.org,+1-274-517-6019x39960,Sales Associate,84638,47
13,Jonathan,Jackson,kirkdaniel@example.org,200-557-5167x96443,Cashier,72581,69
14,Brandon,Johnson,krystalgonzalez@example.net,597-922-4194,Sales Associate,65415,87
15,Nicolas,Robinson,whitealice@example.com,4856747855,Store Manager,61849,20
16,Debra,Morris,asmith@example.com,668-841-5406x1537,Sales Associate,46136,75
17,Amanda,Fry,sandra11@example.com,+1-339-210-1708x6424,Store Manager,47011,2
18,Douglas,Lane,wilsondavid@example.com,518-431-0388,Cashier,67533,67
19,Michael,Moreno,morganbruce@example.com,(540)729-7699,Cashier,59130,59
20,Robert,Salas,pmurray@example.net,(226)571-5885x5279,Customer Support,66586,46
21,Melanie,Vasquez,bernard35@example.net,+1-239-339-8951,Inventory Executive,31117,3
22,Kimberly,Flores,john68@example.net,001-559-386-5312x6247,Sales Associate,71613,63
23,Patricia,Rios,zachary14@example.org,304-468-8989,Store Manager,68459,44
24,Gregory,Warren,michaelsteele@example.com,001-656-329-0870x818,Customer Support,51309,40
25,David,Lewis,angelahowell@example.com,213.287.3854,Cashier,73836,41
26,Gerald,Ward,bcarroll@example.net,651-989-4273x869,Customer Support,79043,86
27,Benjamin,Erickson,reillyjohn@example.org,+1-259-651-4856x2607,Sales Associate,72291,88
28,Ernest,Hill,kylepratt@example.com,001-705-847-4212x718,Sales Associate,47754,71
29,Alexa,Lawson,brennanharry@example.org,(858)664-8955,Sales Associate,66395,84
30,Melissa,Rice,gonzalesashley@example.org,659.853.0115x257,Customer Support,69802,78
31,Abigail,Hernandez,uthompson@example.com,994-304-9614,Cashier,87393,92
32,Jason,Chandler,wongeric@example.org,+1-299-233-0370x952,Inventory Executive,80491,58
33,Robert,Ruiz,jbolton@example.org,3576287272,Cashier,41328,28
34,Kathleen,Johnson,jamessmith@example.com,(660)742-4893x4759,Inventory Executive,45318,96
35,Jill,Brown,holmescole@example.org,978.265.1125x34729,Sales Associate,49237,14
36,Elizabeth,Campbell,christopher06@example.net,922-754-8021x5274,Store Manager,49430,32
37,Benjamin,Wall,jamesmurphy@example.com,(423)797-7064x2022,Sales Associate,63815,16
38,Melissa,Brown,laurietorres@example.com,(673)703-0101x6350,Sales Associate,78900,14
39,Jerry,Riley,david42@example.net,001-506-836-6487x2562,Inventory Executive,80728,4
40,James,Salas,jerry79@example.net,(840)815-2594,Cashier,33269,23
41,Douglas,Stephenson,josephhorne@example.com,599.345.4103,Customer Support,43675,97
42,Timothy,Johnson,mahoneybilly@example.com,953.692.3097,Sales Associate,42458,40
43,Ashley,Marsh,ijohnson@example.org,453.770.8184,Cashier,51433,86
44,Heidi,Harris,debbie40@example.com,+1-944-814-4625x6323,Customer Support,81858,63
45,Christopher,Robinson,tpark@example.net,+1-771-250-9116,Store Manager,69248,24
46,Lisa,Kaufman,charlesschaefer@example.com,001-289-629-5711,Customer Support,73872,68
47,Destiny,Harris,yangcrystal@example.org,894.407.5549,Inventory Executive,44465,53
48,Michael,Solis,erikpatterson@example.com,+1-787-526-3047x8703,Cashier,77150,47
49,Cynthia,Parks,ywoods@example.com,7165285428,Cashier,81846,58
50,Nicholas,Sandoval,blairhannah@example.org,+1-911-690-6925,Inventory Executive,62393,39
51,Gabrielle,Davis,pwest@example.net,375.946.5250x491,Customer Support,85822,72
52,Kenneth,Johnson,tracybrown@example.com,+1-792-222-8244x16142,Sales Associate,62872,29
53,Stephanie,Molina,tara87@example.com,(951)926-4320,Inventory Executive,55111,15
54,Dennis,Reyes,iperez@example.org,868.485.4856x236,Cashier,62583,31
55,Nicole,Anderson,jasonriley@example.com,573-516-5980,Cashier,65197,83
56,Sandra,Turner,simmonselizabeth@example.net,980-260-3346,Customer Support,76440,61
57,Cindy,Edwards,salvarez@example.org,516.205.3593x370,Cashier,45748,84
58,Sarah,Kennedy,dianaroth@example.net,376-765-0775,Customer Support,50692,65
59,Donna,Medina,aliciacosta@example.com,799.245.9752x4442,Customer Support,76660,45
60,Matthew,Gomez,clarkjoanne@example.org,385.595.3482x29504,Inventory Executive,56628,100
61,Elizabeth,Simmons,sullivanmaria@example.org,912.446.6700x17423,Store Manager,47950,89
62,Catherine,Harris,rubenhull@example.org,+1-345-288-7210x3536,Sales Associate,79112,31
63,Leslie,Brooks,kristinking@example.net,(617)790-9551,Cashier,44809,48
64,John,Thompson,matthew90@example.com,919.828.5756x2140,Inventory Executive,40043,89
65,Robin,Garza,donald17@example.org,001-689-806-1079x4300,Customer Support,88912,25
66,David,Adams,sphelps@example.net,(375)988-3019,Store Manager,86615,34
67,David,Chavez,brianbarnes@example.net,2559649859,Store Manager,63918,31
68,Sarah,Knox,millerteresa@example.org,299-963-7467x83278,Store Manager,38936,88
69,Maria,Castro,lewislori@example.net,001-498-696-4008x32739,Cashier,30582,82
70,Lindsey,Costa,harrisgarrett@example.net,(873)651-7284x24821,Cashier,51961,30
71,Daniel,Johnson,williammiller@example.com,(259)854-9048x53407,Customer Support,61013,7
72,Angela,Parker,randallkeller@example.net,+1-836-885-9212,Cashier,51862,36
73,Renee,Wade,dbennett@example.com,+1-361-990-6583,Sales Associate,83177,83
74,Rebecca,Garcia,taylorryan@example.net,001-751-908-0064x43424,Store Manager,54719,82
75,Ashley,Fischer,megan97@example.org,636.992.8343,Inventory Executive,59955,82
76,James,Church,martin97@example.net,530-702-0351x668,Inventory Executive,82440,38
77,David,Alexander,brendarandall@example.net,861-343-9048x2805,Sales Associate,73642,87
